# 766edf8d-6c71-4d40-a41b-1b6d78922153
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.8226703; -5.7055845; 2.4608905; 0.0218080; 10.0000000; 0.0000000
0.1994374; 1.6976074; -5.8606339; 2.4645676; 0.0151202; 10.0000000; 0.0000000
0.3988748; 1.5728624; -6.0162471; 2.4669241; 0.0085492; 10.0000000; 0.0000000
0.5983122; 1.4482901; -6.1721901; 2.4679928; 0.0021907; 10.0000000; 0.0000000
0.7977496; 1.3239780; -6.3279481; 2.4678127; -0.0039714; 10.0000000; 0.0000000
0.9971870; 1.1993795; -6.4838126; 2.4664318; -0.0094826; 10.0000000; 0.0000000
1.1966243; 1.0745514; -6.6393670; 2.4641208; -0.0136819; 10.0000000; 0.0000000
1.3960617; 0.9493432; -6.7945532; 2.4613355; -0.0128119; 10.0000000; 0.0000000
1.5954991; 0.8236398; -6.9495425; 2.4590690; -0.0095457; 10.0000000; 0.0000000
1.7949365; 0.6977668; -7.1041626; 2.4577903; -0.0032950; 10.0000000; 0.0000000
1.9943739; 0.5717382; -7.2587666; 2.4577620; 0.0031040; 10.0000000; 0.0000000
2.1938113; 0.4457878; -7.4134704; 2.4590352; 0.0096548; 10.0000000; 0.0000000
2.3932487; 0.3201819; -7.5683579; 2.4615985; 0.0160406; 10.0000000; 0.0000000
2.5926861; 0.1950384; -7.7236882; 2.4654314; 0.0223342; 10.0000000; 0.0000000
2.7921235; 0.0706055; -7.8795520; 2.4704968; 0.0284678; 10.0000000; -4.3685652
2.9915609; -0.0529595; -8.0361428; 2.4767719; 0.0343811; 9.9124916; -8.5665127
3.1909983; -0.1754133; -8.1935331; 2.4842117; 0.0402027; 9.7386099; -8.1823911
3.3904357; -0.2966458; -8.3519553; 2.4927770; 0.0456875; 9.5695754; -7.8431959
3.5898730; -0.4164159; -8.5114575; 2.5024317; 0.0509970; 9.4046968; -7.5443480
3.7893104; -0.5345012; -8.6720923; 2.5131104; 0.0561501; 9.2433257; -7.3061822
3.9887478; -0.6508905; -8.8341891; 2.5247901; 0.0608777; 9.0843172; -7.0868693
4.1881852; -0.7652156; -8.9975634; 2.5374055; 0.0656468; 8.9273762; -6.8844164
4.3876226; -0.8774072; -9.1624426; 2.5509763; 0.0704776; 8.7722304; -6.6153367
4.5870600; -0.9873255; -9.3289748; 2.5656063; 0.0764589; 8.6205182; -6.3308316
4.7864974; -1.0945675; -9.4969702; 2.5814945; 0.0829708; 8.4727873; -6.0726715
4.9859348; -1.1991388; -9.6669170; 2.5986931; 0.0894502; 8.3286187; -5.8530022
5.1853722; -1.3006322; -9.8386544; 2.6171771; 0.0957034; 8.1872630; -5.6620580
5.3848096; -1.3986944; -10.0120561; 2.6368513; 0.1018488; 8.0481565; -5.5220865
5.5842470; -1.4934360; -10.1878174; 2.6577505; 0.1075303; 7.9101329; -5.4038220
5.7836844; -1.5842739; -10.3653557; 2.6797702; 0.1131816; 7.7726928; -5.3098418
5.9831217; -1.6710034; -10.5447326; 2.7028727; 0.1187603; 7.6352336; -5.2442165
6.1825591; -1.7536339; -10.7264930; 2.7271268; 0.1241990; 7.4969998; -5.1912900
6.3819965; -1.8316249; -10.9099868; 2.7524466; 0.1297743; 7.3576036; -5.1533231
6.5814339; -1.9048079; -11.0953476; 2.7788730; 0.1354676; 7.2165643; -5.1190545
6.7808713; -1.9730707; -11.2829371; 2.8065154; 0.1415173; 7.0736793; -5.0877072
6.9803087; -2.0359264; -11.4721264; 2.8353567; 0.1479834; 6.9287503; -5.0577280
7.1797461; -2.0931566; -11.6630317; 2.8655434; 0.1549512; 6.7816060; -5.0028452
7.3791835; -2.1445260; -11.8558816; 2.8972645; 0.1630455; 6.6328479; -4.9384502
7.5786209; -2.1895470; -12.0500871; 2.9306211; 0.1720327; 6.4826575; -4.8628468
7.7780583; -2.2278723; -12.2456805; 2.9659121; 0.1820497; 6.3312859; -4.7263770
7.9774957; -2.2590875; -12.4427156; 3.0034517; 0.1944092; 6.1806107; -4.5643708
8.1769331; -2.2826237; -12.6406708; 3.0435141; 0.2083916; 6.0315285; -4.3857411
8.3763704; -2.2979185; -12.8394848; 3.0866280; 0.2238748; 5.8847239; -4.1051123
8.5758078; -2.3042960; -13.0387227; 3.1332066; 0.2432931; 5.7439141; -3.7675683
8.7752452; -2.3010054; -13.2379683; -3.0994393; 0.2654320; 5.6115738; -3.4242394
8.9746826; -2.2871576; -13.4370786; -3.0441073; 0.2886828; 5.4885261; -2.9195673
9.1741200; -2.2618872; -13.6347032; -2.9837578; 0.3175576; 5.3813917; -2.9145749
9.3735574; -2.2240273; -13.8311160; -2.9182062; 0.3308512; 5.2722695; -2.8718764
9.5729948; -2.1734009; -14.0239165; -2.8508022; 0.3465019; 5.1624904; -2.8245429
9.7724322; -2.1093127; -14.2138404; -2.7813866; 0.3499001; 5.0521944; -3.1039826
9.9718696; -2.0318423; -14.3992765; -2.7104120; 0.3502890; 4.9281404; -3.4848752
10.1713070; -1.9422425; -14.5773550; -2.6405270; 0.3427101; 4.7850328; -3.9839562
10.3707444; -1.8416268; -14.7476893; -2.5771721; 0.2896277; 4.6159982; -5.3257962
10.5701817; -1.7314159; -14.9130509; -2.5372587; 0.0827824; 4.3798531; -10.4723782
10.7696191; -1.6187821; -15.0760093; -2.5440491; -0.0711695; 3.8737509; -5.9510954
10.9690565; -1.5072636; -15.2368570; -2.5106598; 0.4828479; 3.5541812; -2.5101439
11.1684939; -1.3781335; -15.3906716; -2.3643650; 0.8199126; 3.4104209; -2.2135089
11.3679313; -1.2253884; -15.5218920; -2.1934380; 0.9145358; 3.2784231; -2.0755416
11.5673687; -1.0533489; -15.6225227; -2.0040434; 1.0044316; 3.1496312; -1.7139383
11.7668061; -0.8630148; -15.6869278; -1.7866336; 1.1176284; 3.0391660; -1.0052958
11.9662435; -0.6648414; -15.7067269; -1.5486285; 1.2483722; 2.9724641; -0.5464296
12.1656809; -0.4690132; -15.6778165; -1.2971811; 1.3330927; 2.9355725; -0.0344154
12.3651183; -0.2842512; -15.5981078; -1.0290911; 1.3947231; 2.9332334; -0.0344154
12.5645557; -0.1308125; -15.4754966; -0.7959886; 0.4091625; 2.9308925; 5.2656395
12.7639931; 0.0031262; -15.3437318; -0.7725282; 0.9822117; 3.2696272; 1.4569414
12.9634304; 0.1259287; -15.1865050; -0.5661952; 0.7691513; 3.3573202; 3.2853483
13.1628678; 0.2247175; -15.0036421; -0.4300027; 0.5848490; 3.5471174; 4.5910774
13.3623052; 0.2973606; -14.8191632; -0.3222085; 0.5240343; 3.7964861; 4.3892794
13.5617426; 0.3511494; -14.6241170; -0.2168946; 0.4972343; 4.0204576; 3.8980088
