# 1f7bb498-f338-4f2a-b09e-3b3d3c2ea9a1
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.8434048; -5.7220731; 2.4588943; 0.0228525; 10.0000000; 0.0000000
0.1998190; 1.7178051; -5.8771890; 2.4627985; 0.0162770; 10.0000000; 0.0000000
0.3996381; 1.5925650; -6.0328934; 2.4654007; 0.0098008; 10.0000000; 0.0000000
0.5994571; 1.4675385; -6.1889582; 2.4667296; 0.0035201; 10.0000000; 0.0000000
0.7992762; 1.3428104; -6.3448764; 2.4668220; -0.0025679; 10.0000000; 0.0000000
0.9990952; 1.2178441; -6.5009292; 2.4657271; -0.0079862; 10.0000000; 0.0000000
1.1989143; 1.0926887; -6.6567148; 2.4637220; -0.0120729; 10.0000000; 0.0000000
1.3987333; 0.9672046; -6.8121685; 2.4612740; -0.0110024; 10.0000000; 0.0000000
1.5985524; 0.8412839; -6.9674647; 2.4593815; -0.0076049; 10.0000000; 0.0000000
1.7983714; 0.7152419; -7.1224485; 2.4584527; -0.0017060; 10.0000000; 0.0000000
1.9981904; 0.5890985; -7.2774492; 2.4587039; 0.0042791; 10.0000000; 0.0000000
2.1980095; 0.4630699; -7.4325796; 2.4601666; 0.0103533; 10.0000000; 0.0000000
2.3978285; 0.3374057; -7.5879157; 2.4628274; 0.0162711; 10.0000000; 0.0000000
2.5976476; 0.2122173; -7.7436969; 2.4666674; 0.0221026; 10.0000000; 0.0000000
2.7974666; 0.0877347; -7.9000080; 2.4716515; 0.0277896; 10.0000000; -1.7293417
2.9972857; -0.0359004; -8.0570353; 2.4777583; 0.0332602; 9.9653845; -8.6798735
3.1971047; -0.1584507; -8.2148317; 2.4849452; 0.0386424; 9.7897947; -8.3258826
3.3969238; -0.2798234; -8.3736252; 2.4931737; 0.0437147; 9.6183544; -8.0164544
3.5967428; -0.3997955; -8.5334612; 2.5024104; 0.0486040; 9.4503471; -7.7444366
3.7965619; -0.5181378; -8.6943566; 2.5125910; 0.0533604; 9.2851542; -7.5332091
3.9963809; -0.6348887; -8.8566823; 2.5236939; 0.0576851; 9.1215970; -7.3348887
4.1961999; -0.7496702; -9.0202155; 2.5356594; 0.0621161; 8.9594771; -7.1455704
4.3960190; -0.8624072; -9.1851525; 2.5485249; 0.0667053; 8.7986697; -6.8542482
4.5958380; -0.9730152; -9.3517094; 2.5624458; 0.0729064; 8.6416069; -6.5445696
4.7956571; -1.0810587; -9.5196648; 2.5776842; 0.0797048; 8.4889287; -6.2554978
4.9954761; -1.1865085; -9.6894721; 2.5942992; 0.0865811; 8.3403822; -6.0109659
5.1952952; -1.2890083; -9.8610853; 2.6122809; 0.0931759; 8.1951061; -5.7974983
5.3951142; -1.3881600; -10.0343392; 2.6315288; 0.0996543; 8.0525067; -5.6346450
5.5949333; -1.4840248; -10.2098604; 2.6520593; 0.1056975; 7.9114502; -5.4982430
5.7947523; -1.5760896; -10.3872340; 2.6737898; 0.1116561; 7.7713408; -5.3856192
5.9945713; -1.6640506; -10.5663600; 2.6966578; 0.1175683; 7.6316079; -5.3051428
6.1943904; -1.7479974; -10.7479694; 2.7207491; 0.1232926; 7.4914152; -5.2380803
6.3942094; -1.8273351; -10.9313466; 2.7459709; 0.1291559; 7.3503718; -5.1870571
6.5940285; -1.9018333; -11.1165015; 2.7723415; 0.1351316; 7.2079830; -5.1404034
6.7938475; -1.9714650; -11.3040352; 2.8000048; 0.1414649; 7.0640441; -5.0960000
6.9936666; -2.0356813; -11.4932163; 2.8289275; 0.1482415; 6.9183931; -5.0576321
7.1934856; -2.0942145; -11.6840380; 2.8592342; 0.1554381; 6.7707415; -4.9897639
7.3933047; -2.1468899; -11.8769666; 2.8911637; 0.1638728; 6.6218457; -4.9101878
7.5931237; -2.1931665; -12.0713044; 2.9247936; 0.1732623; 6.4719814; -4.8247144
7.7929428; -2.2326707; -12.2670298; 2.9604124; 0.1835689; 6.3212659; -4.6762476
7.9927618; -2.2649881; -12.4642649; 2.9983787; 0.1962770; 6.1716769; -4.4929613
8.1925808; -2.2895284; -12.6624926; 3.0389524; 0.2108394; 6.0244533; -4.2905158
8.3923999; -2.3057029; -12.8616102; 3.0826516; 0.2269503; 5.8804238; -4.0036278
8.5922189; -2.3128155; -13.0612291; 3.1299520; 0.2464658; 5.7427678; -3.6301273
8.7920380; -2.3100907; -13.2608305; -3.1018678; 0.2694688; 5.6150374; -3.2546346
8.9918570; -2.2966159; -13.4602933; -3.0456358; 0.2933137; 5.4979968; -2.7205125
9.1916761; -2.2714757; -13.6584432; -2.9841785; 0.3224368; 5.3982172; -2.7108875
9.3914951; -2.2335542; -13.8552197; -2.9180372; 0.3323800; 5.2969213; -2.7833804
9.5913142; -2.1826304; -14.0487490; -2.8499959; 0.3451646; 5.1908602; -2.7680254
9.7911332; -2.1185559; -14.2382249; -2.7808384; 0.3501400; 5.0831901; -2.9744169
9.9909522; -2.0407366; -14.4242504; -2.7102091; 0.3461776; 4.9648899; -3.4351824
10.1907713; -1.9507039; -14.6032408; -2.6412870; 0.3310769; 4.8246556; -4.0942805
10.3905903; -1.8499394; -14.7745862; -2.5806507; 0.2659963; 4.6519965; -5.8025324
10.5904094; -1.7407464; -14.9406583; -2.5463655; 0.0639623; 4.3956977; -10.8147799
10.7902284; -1.6302270; -15.1040745; -2.5525158; -0.0089617; 3.8730040; -5.5674318
10.9900475; -1.5190151; -15.2657006; -2.5101010; 0.5075199; 3.5742415; -2.5828177
11.1898665; -1.3892794; -15.4199598; -2.3643933; 0.8059394; 3.4268076; -2.1402344
