# 1094c9e9-910e-42c7-a576-88a7a4933bfe
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.8579112; -5.7336090; 2.4655436; 0.0208592; 10.0000000; 0.0000000
0.1994425; 1.7335499; -5.8892338; 2.4690208; 0.0140624; 10.0000000; 0.0000000
0.3988849; 1.6094755; -6.0453958; 2.4711572; 0.0074081; 10.0000000; 0.0000000
0.5983274; 1.4855492; -6.2018466; 2.4719913; 0.0009800; 10.0000000; 0.0000000
0.7977698; 1.3618318; -6.3580976; 2.4715620; -0.0052627; 10.0000000; 0.0000000
0.9972123; 1.2377953; -6.5144154; 2.4699168; -0.0107779; 10.0000000; 0.0000000
1.1966548; 1.1134912; -6.6703887; 2.4673710; -0.0147425; 10.0000000; 0.0000000
1.3960972; 0.9887654; -6.8259800; 2.4644302; -0.0131033; 10.0000000; 0.0000000
1.5955397; 0.8635448; -6.9813567; 2.4622111; -0.0089505; 10.0000000; 0.0000000
1.7949821; 0.7381597; -7.1363846; 2.4610140; -0.0030683; 10.0000000; 0.0000000
1.9944246; 0.6126266; -7.2914013; 2.4609833; 0.0027449; 10.0000000; 0.0000000
2.1938670; 0.4871696; -7.4464972; 2.4621063; 0.0085109; 10.0000000; 0.0000000
2.3933095; 0.3620067; -7.6017667; 2.4643657; 0.0141349; 10.0000000; 0.0000000
2.5927520; 0.2372599; -7.7574161; 2.4677434; 0.0196815; 10.0000000; 0.0000000
2.7921944; 0.1131393; -7.9135353; 2.4722068; 0.0250837; 10.0000000; 0.0000000
2.9916369; -0.0102218; -8.0703022; 2.4777363; 0.0302902; 10.0000000; -7.1969163
3.1910793; -0.1325863; -8.2277507; 2.4842901; 0.0354159; 9.8554177; -8.6055881
3.3905218; -0.2538967; -8.3861365; 2.4918341; 0.0402277; 9.6797014; -8.3051077
3.5899643; -0.3739104; -8.5454616; 2.5003336; 0.0448800; 9.5070415; -8.0436675
3.7894067; -0.4924301; -8.7057687; 2.5097279; 0.0493836; 9.3367735; -7.8407189
3.9888492; -0.6094908; -8.8674050; 2.5199959; 0.0534871; 9.1677584; -7.6496830
4.1882916; -0.7247208; -9.0301417; 2.5310773; 0.0577100; 8.9998029; -7.4612789
4.3877341; -0.8380857; -9.1942172; 2.5430289; 0.0621736; 8.8329078; -7.1507227
4.5871765; -0.9494687; -9.3597898; 2.5560197; 0.0685126; 8.6699449; -6.8076840
4.7866190; -1.0584453; -9.5266659; 2.5703854; 0.0756651; 8.5119012; -6.4824119
4.9860615; -1.1650155; -9.6953644; 2.5862087; 0.0829730; 8.3586318; -6.2030264
5.1855039; -1.2687570; -9.8657679; 2.6034813; 0.0900182; 8.2092894; -5.9579258
5.3849464; -1.3692837; -10.0377666; 2.6221026; 0.0969322; 8.0632441; -5.7685521
5.5843888; -1.4666801; -10.2120509; 2.6420930; 0.1033615; 7.9192750; -5.6065845
5.7838313; -1.5603638; -10.3881244; 2.6633542; 0.1097138; 7.7767947; -5.4719421
5.9832738; -1.6500701; -10.5659973; 2.6858313; 0.1159815; 7.6351726; -5.3710334
6.1827162; -1.7358393; -10.7463164; 2.7095943; 0.1220510; 7.4935596; -5.2857492
6.3821587; -1.8170807; -10.9284229; 2.7345506; 0.1282344; 7.3515325; -5.2184646
6.5816011; -1.8935798; -11.1123996; 2.7607233; 0.1345058; 7.2085687; -5.1573241
6.7810436; -1.9652552; -11.2987272; 2.7882324; 0.1411105; 7.0644380; -5.1004815
6.9804861; -2.0315732; -11.4867634; 2.8170514; 0.1481250; 6.9189435; -5.0494278
7.1799285; -2.0922728; -11.6765589; 2.8473095; 0.1555685; 6.7718268; -4.9716332
7.3793710; -2.1471360; -11.8684526; 2.8792147; 0.1641924; 6.6237851; -4.8839945
7.5788134; -2.1956355; -12.0618456; 2.9128572; 0.1737262; 6.4750581; -4.7922368
7.7782559; -2.2373924; -12.2567285; 2.9485241; 0.1841273; 6.3257274; -4.6320937
7.9776983; -2.2719814; -12.4531948; 2.9865509; 0.1970431; 6.1779571; -4.4435652
8.1771408; -2.2988055; -12.6507416; 3.0271998; 0.2116247; 6.0328006; -4.2363751
8.3765833; -2.3172770; -12.8493056; 3.0709951; 0.2277043; 5.8910828; -3.9343945
8.5760257; -2.3266900; -13.0484238; 3.1183689; 0.2474129; 5.7563431; -3.5538607
8.7754682; -2.3262700; -13.2476832; -3.1133810; 0.2702893; 5.6318651; -3.1633767
8.9749106; -2.3151017; -13.4469512; -3.0570486; 0.2941431; 5.5187029; -2.6234276
9.1743531; -2.2922766; -13.6449212; -2.9956056; 0.3228265; 5.4230652; -2.6197958
9.3737956; -2.2566687; -13.8417168; -2.9293087; 0.3336938; 5.3258463; -2.6425670
9.5732380; -2.2080793; -14.0352487; -2.8613736; 0.3466306; 5.2259505; -2.5953984
9.7726805; -2.1461213; -14.2255241; -2.7921530; 0.3487906; 5.1259432; -2.8633691
9.9721229; -2.0706797; -14.4118474; -2.7218223; 0.3452077; 5.0132962; -3.3063799
10.1715654; -1.9831891; -14.5910772; -2.6533867; 0.3326529; 4.8799871; -3.9105298
10.3710079; -1.8850064; -14.7627251; -2.5923540; 0.2774068; 4.7174593; -5.3853701
10.5704503; -1.7776045; -14.9295714; -2.5531111; 0.0912230; 4.4840026; -10.2237712
10.7698928; -1.6666956; -15.0946947; -2.5540223; -0.0744750; 4.0035199; -7.3251146
10.9693352; -1.5560552; -15.2582210; -2.5267217; 0.3606901; 3.6202615; -2.3600009
11.1687777; -1.4307310; -15.4159060; -2.3989870; 0.7964421; 3.4878252; -2.3367069
11.3682201; -1.2867539; -15.5499329; -2.2397379; 0.8577105; 3.3515441; -1.9120733
11.5676626; -1.1180668; -15.6598956; -2.0541037; 0.9674940; 3.2357612; -0.8681944
11.7671051; -0.9320392; -15.7342914; -1.8427349; 1.1035635; 3.1817984; -0.7222809
11.9665475; -0.7356982; -15.7663342; -1.6208770; 1.1506068; 3.1361974; -0.6851344
12.1659900; -0.5350172; -15.7528135; -1.3859584; 1.1787673; 3.0923202; -0.2822586
12.3654324; -0.3430410; -15.6918452; -1.1387422; 1.2439916; 3.0740617; -0.0377392
12.5648749; -0.1737300; -15.5846616; -0.8700692; 1.2718868; 3.0716122; -0.0377392
12.7643174; -0.0387225; -15.4487548; -0.7372705; -0.0998422; 3.0691608; 5.2623210
12.9637598; 0.0902974; -15.3036195; -0.6622932; 0.9931272; 3.3939370; 0.5142828
13.1632023; 0.1968926; -15.1389745; -0.5003608; 0.6618096; 3.4240252; 4.1940832
13.3626447; 0.2834885; -14.9529226; -0.3736088; 0.5742127; 3.6601782; 4.2537394
13.5620872; 0.3462496; -14.7616432; -0.2607805; 0.5644349; 3.8850556; 3.4202386
13.7615296; 0.3870059; -14.5649872; -0.1494609; 0.5313339; 4.0568385; 3.1895076
13.9609721; 0.4063409; -14.3664324; -0.0449458; 0.5169181; 4.2107227; 2.7640257
14.1604146; 0.4054892; -14.1656789; 0.0506932; 0.4352340; 4.3396674; 3.7280320
14.3598570; 0.3872515; -13.9665878; 0.1285941; 0.3308518; 4.5077455; 5.1958889
14.5592995; 0.3563197; -13.7708324; 0.1799534; 0.1824076; 4.7320536; 5.2104307
14.7587419; 0.3174420; -13.5730449; 0.2044049; 0.0613097; 4.9467861; 5.2021172
14.9581844; 0.2771132; -13.3795118; 0.2005082; -0.1211381; 5.1522557; 5.1938170
15.1576269; 0.2415559; -13.1848298; 0.1532004; -0.3332325; 5.3495303; 2.3492577
15.3570693; 0.2176747; -12.9870355; 0.0874027; -0.3245178; 5.4364104; 2.2908028
15.5565118; 0.2065734; -12.7887466; 0.0253768; -0.2973512; 5.5198120; 2.8183339
15.7559542; 0.2072084; -12.5895045; -0.0309216; -0.2732545; 5.6207220; 3.2408326
15.9553967; 0.2188189; -12.3893649; -0.0846085; -0.2624411; 5.7345649; 3.2380204
16.1548392; 0.2407046; -12.1919926; -0.1360739; -0.2567812; 5.8460955; 3.0873261
16.3542816; 0.2728224; -11.9949861; -0.1870100; -0.2532223; 5.9504891; 2.8921893
16.5537241; 0.3150085; -11.7993124; -0.2377261; -0.2545771; 6.0466496; 2.5459125
16.7531665; 0.3668837; -11.6068620; -0.2891126; -0.2621595; 6.1300487; 1.9983914
16.9526090; 0.4288114; -11.4171663; -0.3419871; -0.2628083; 6.1947256; 1.7613327
17.1520514; 0.5005542; -11.2310531; -0.3935840; -0.2538399; 6.2511754; 1.9243402
17.3514939; 0.5814995; -11.0489424; -0.4423061; -0.2350449; 6.3122725; 2.4753056
17.5509364; 0.6709249; -10.8707464; -0.4873086; -0.2164593; 6.3900036; 2.9981745
17.7503788; 0.7680865; -10.6963545; -0.5287184; -0.1984897; 6.4829062; 3.4897468
17.9498213; 0.8718329; -10.5263140; -0.5662926; -0.1787873; 6.5893915; 4.0633595
18.1492637; 0.9817078; -10.3598718; -0.5999749; -0.1585340; 6.7112512; 4.6793237
18.3487062; 1.0968811; -10.1968599; -0.6295247; -0.1376630; 6.8488981; 5.1123704
18.5481487; 1.2162500; -10.0373709; -0.6547390; -0.1153258; 6.9961884; 5.1042134
18.7475911; 1.3394595; -9.8804092; -0.6755223; -0.0925541; 7.1402133; 5.0960694
18.9470336; 1.4654929; -9.7258098; -0.6916001; -0.0687774; 7.2811669; 5.0879384
19.1464760; 1.5935390; -9.5730746; -0.7030434; -0.0463226; 7.4192246; 5.0798204
19.3459185; 1.7232202; -9.4212636; -0.7101436; -0.0262360; 7.5545455; 5.0717154
19.5453609; 1.8534854; -9.2704536; -0.7144031; -0.0165601; 7.6872744; 5.0636232
19.7448034; 1.9843512; -9.1199600; -0.7168262; -0.0083565; 7.8175438; 2.8771008
19.9442459; 2.1156043; -8.9695317; -0.7178023; -0.0014537; 7.8906035; -11.8831303
20.1436883; 2.2466212; -8.8194568; -0.7173505; 0.0060318; 7.5843010; -11.4884485
20.3431308; 2.3776945; -8.6689528; -0.7153999; 0.0136630; 7.2759228; -11.1386489
20.5425732; 2.5082415; -8.5182231; -0.7118650; 0.0217613; 6.9639079; -10.8492622
20.7420157; 2.6381074; -8.3669579; -0.7067105; 0.0300534; 6.6459316; -10.6293710
