# dff89306-c5a0-43ec-b487-8b1313d3a115
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 1.8737122; -5.7461744; 2.4721432; 0.0168050; 10.0000000; 0.0000000
0.1995706; 1.7502374; -5.9026650; 2.4747797; 0.0096660; 10.0000000; 0.0000000
0.3991412; 1.6269118; -6.0595883; 2.4760094; 0.0027178; 10.0000000; 0.0000000
0.5987118; 1.5035937; -6.2166786; 2.4758805; -0.0039802; 10.0000000; 0.0000000
0.7982824; 1.3803259; -6.3734545; 2.4744891; -0.0098682; 10.0000000; 0.0000000
0.9978529; 1.2565997; -6.5301789; 2.4719848; -0.0143234; 10.0000000; 0.0000000
1.1974235; 1.1324970; -6.6864756; 2.4689864; -0.0157259; 10.0000000; 0.0000000
1.3969941; 1.0079350; -6.8423652; 2.4659927; -0.0130788; 10.0000000; 0.0000000
1.5965647; 0.8828822; -6.9980352; 2.4638133; -0.0086351; 10.0000000; 0.0000000
1.7961353; 0.7576657; -7.1533692; 2.4626441; -0.0030950; 10.0000000; 0.0000000
1.9957059; 0.6323025; -7.3086886; 2.4625744; 0.0023830; 10.0000000; 0.0000000
2.1952765; 0.5070077; -7.4640743; 2.4635929; 0.0078198; 10.0000000; 0.0000000
2.3948471; 0.3819794; -7.6196244; 2.4656838; 0.0131231; 10.0000000; 0.0000000
2.5944177; 0.2573422; -7.7755224; 2.4688300; 0.0183545; 10.0000000; 0.0000000
2.7939883; 0.1332898; -7.9318591; 2.4730008; 0.0234499; 10.0000000; 0.0000000
2.9935588; 0.0099447; -8.0888065; 2.4781776; 0.0283568; 10.0000000; -4.4805591
3.1931294; -0.1124573; -8.2463815; 2.4843202; 0.0331861; 9.9101778; -8.8073205
3.3927000; -0.2338794; -8.4048477; 2.4913958; 0.0377149; 9.7312003; -8.5230277
3.5922706; -0.3540824; -8.5641933; 2.4993709; 0.0420853; 9.5548087; -8.2766625
3.7918412; -0.4728721; -8.7244468; 2.5081859; 0.0463151; 9.3803418; -8.0883640
3.9914118; -0.5903133; -8.8859772; 2.5178207; 0.0501482; 9.2066505; -7.9079201
4.1909824; -0.7060274; -9.0485298; 2.5282179; 0.0541443; 9.0336059; -7.7241067
4.3905530; -0.8199864; -9.2123357; 2.5394497; 0.0584540; 8.8613220; -7.3902982
4.5901236; -0.9320985; -9.3775816; 2.5517210; 0.0649965; 8.6932879; -7.0199891
4.7896941; -1.0419211; -9.5440621; 2.5654221; 0.0724337; 8.5306089; -6.6640357
4.9892647; -1.1494389; -9.7122908; 2.5806455; 0.0801069; 8.3732549; -6.3584128
5.1888353; -1.2542456; -9.8822050; 2.5973914; 0.0874882; 8.2203098; -6.0896142
5.3884059; -1.3559297; -10.0536855; 2.6155563; 0.0947296; 8.0711137; -5.8778071
5.5879765; -1.4545501; -10.2273962; 2.6351502; 0.1014921; 7.9244433; -5.6968439
5.7875471; -1.5495518; -10.4029251; 2.6560839; 0.1081449; 7.7796502; -5.5439972
5.9871177; -1.6406197; -10.5802177; 2.6782904; 0.1147184; 7.6361063; -5.4276798
6.1866883; -1.7278253; -10.7599975; 2.7018432; 0.1210625; 7.4929106; -5.3282029
6.3862589; -1.8105515; -10.9415963; 2.7266478; 0.1275129; 7.3496261; -5.2480096
6.5858294; -1.8885475; -11.1250403; 2.7527142; 0.1340403; 7.2057135; -5.1749547
6.7854000; -1.9617703; -11.3109183; 2.7801756; 0.1408931; 7.0609326; -5.1063918
6.9849706; -2.0296519; -11.4985529; 2.8089979; 0.1481617; 6.9150993; -5.0463632
7.1845412; -2.0919058; -11.6879493; 2.8392989; 0.1558116; 6.7678938; -4.9579804
7.3841118; -2.1483329; -11.8795275; 2.8713047; 0.1646833; 6.6200795; -4.8586944
7.5836824; -2.1983829; -12.0726718; 2.9050967; 0.1744933; 6.4719509; -4.7541637
7.7832530; -2.2416641; -12.2673711; 2.9409586; 0.1851977; 6.3236513; -4.5882063
7.9828236; -2.2777328; -12.4636728; 2.9792319; 0.1982435; 6.1771533; -4.3850484
8.1823942; -2.3059920; -12.6611495; 3.0201830; 0.2131619; 6.0338188; -4.1614416
8.3819648; -2.3258350; -12.8597072; 3.0643257; 0.2295962; 5.8945710; -3.8517923
8.5815353; -2.3365422; -13.0589059; 3.1121184; 0.2493647; 5.7626867; -3.4463037
8.7811059; -2.3373229; -13.2582726; -3.1191563; 0.2727053; 5.6420738; -3.0318131
8.9806765; -2.3272496; -13.4577000; -3.0623051; 0.2968591; 5.5337939; -2.4725819
9.1802471; -2.3053851; -13.6559700; -3.0002627; 0.3254816; 5.4438925; -2.4636472
9.3798177; -2.2706404; -13.8530206; -2.9336841; 0.3343964; 5.3528145; -2.5288017
