# f7960d66-a29e-459c-8b93-859c886857bb
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0.0000000, 1.8930235, -5.7615313, 2.4735568, 0.0132290, 10.0000000, 0.0000000
0.1996933, 1.7696398, -5.9182556, 2.4755623, 0.0068970, 10.0000000, 0.0000000
0.3993865, 1.6463208, -6.0753429, 2.4763201, 0.0007556, 10.0000000, 0.0000000
0.5990798, 1.5229521, -6.2325433, 2.4758787, -0.0051499, 10.0000000, 0.0000000
0.7987730, 1.3995912, -6.3894085, 2.4743395, -0.0101601, 10.0000000, 0.0000000
0.9984663, 1.2757671, -6.5462084, 2.4718639, -0.0137080, 10.0000000, 0.0000000
1.1981596, 1.1515843, -6.7025973, 2.4690850, -0.0141255, 10.0000000, 0.0000000
1.3978528, 1.0269874, -6.8586190, 2.4664495, -0.0113111, 10.0000000, 0.0000000
1.5975461, 0.9019581, -7.0144598, 2.4646051, -0.0070660, 10.0000000, 0.0000000
1.7972393, 0.7768073, -7.1700089, 2.4637013, -0.0019967, 10.0000000, 0.0000000
1.9969326, 0.6515458, -7.3255684, 2.4638045, 0.0030184, 10.0000000, 0.0000000
2.1966258, 0.5263754, -7.4812065, 2.4649049, 0.0079987, 10.0000000, 0.0000000
2.3963191, 0.4014717, -7.6370210, 2.4669880, 0.0128546, 10.0000000, 0.0000000
2.5960124, 0.2769565, -7.7931706, 2.4700382, 0.0176445, 10.0000000, 0.0000000
2.7957056, 0.1530040, -7.9497425, 2.4740266, 0.0223074, 10.0000000, 0.0000000
2.9953989, 0.0297219, -8.1069004, 2.4789358, 0.0267900, 10.0000000, -1.5358398
3.1950921, -0.0926594, -8.2646406, 2.4847273, 0.0311987, 9.9692831, -8.9996161
3.3947854, -0.2141269, -8.4232308, 2.4913699, 0.0353218, 9.7873531, -8.7428704
3.5944787, -0.3344492, -8.5826430, 2.4988313, 0.0392883, 9.6073147, -8.5221557
3.7941719, -0.4534384, -8.7428876, 2.5070536, 0.0431222, 9.4285133, -8.3580933
3.9938652, -0.5711936, -8.9043534, 2.5160173, 0.0465662, 9.2497974, -8.1961165
4.1935584, -0.6873330, -9.0667559, 2.5256689, 0.0502280, 9.0711264, -8.0228934
4.3932517, -0.8018374, -9.2303165, 2.5361006, 0.0542915, 8.8927554, -7.6638367
